"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"2134","2019/2020","Kenan Karisik","Central Midfield","32","Turkey","Adanaspor","Turkey","1.Lig","","","","-"
"2135","2019/2020","Anton Tsvetkov","Goalkeeper","25","Russia","","","","Torpedo ","Armenia","First League","-"
"2136","2019/2020","Davor Taleski","Goalkeeper","24","North Macedonia","AE Larisa","Greece","Super League","","","","-"
"2137","2019/2020","Wei Wang","Centre-Back","28","China","BIT","China","League Two North","BIT Res.","China","","-"
"2138","2019/2020","Antoine Griezmann","Centre-Forward","28","France","Atlético Madrid","Spain","LaLiga","FC Barcelona","Spain","LaLiga","£108.00m"
"2139","2019/2020","Maxi Gómez","Centre-Forward","22","Uruguay","Celta de Vigo","Spain","LaLiga","Valencia","Spain","LaLiga","£13.05m"
"2140","2019/2020","Matías Vargas","Left Winger","22","Argentina","Vélez Sarsfield","Argentina","Superliga","Espanyol","Spain","LaLiga","£9.45m"
"2141","2019/2020","Quique","Centre-Forward","29","Spain","Dep. La Coruña","Spain","LaLiga2","SD Eibar","Spain","LaLiga","£2.97m"
"2142","2019/2020","Domingos Duarte","Centre-Back","24","Portugal","Sporting CP","Portugal","Liga NOS","Granada CF","Spain","LaLiga","£2.70m"
"2143","2019/2020","Ui-jo Hwang","Centre-Forward","26","Korea, South","Gamba Osaka","Japan","J1 League","G. Bordeaux","France","Ligue 1","£1.80m"
"2144","2019/2020","Ayman Al-Khalif","Attacking Midfield","22","Saudi Arabia","Ahli","Saudi Arabia","Professional League","Al-Wahda","Saudi Arabia","Professional League","£378k"
"2145","2019/2020","Timothy Dennis Awany","Centre-Back","22","Uganda","Kampala CC","Uganda","","FC Ashdod","Israel","Ligat ha'Al","£248k"
"2146","2019/2020","Funso Ojo","Central Midfield","27","Belgium","Scunthorpe Utd.","England","League Two","Aberdeen FC","Scotland","Premiership","£126k"
"2147","2019/2020","Mohamed Baayou","Goalkeeper","26","Morocco","Kawkab Marrakech","Morocco","","FAR Rabat","Morocco","Botola Pro","£95k"
"2148","2019/2020","Benedikt Gimber","Centre-Back","22","Germany","FC Ingolstadt","Germany","3. Liga","Jahn Regensburg","Germany","2. Bundesliga","?"
"2149","2019/2020","Sigurd Rosted","Centre-Back","25","Norway","KAA Gent","Belgium","Jupiler Pro League","Bröndby IF","Denmark","Superligaen","?"
"2150","2019/2020","Roy Harari","Left-Back","32","Israel","Maccabi Yavne","Israel","","Shim. K. Qasem","Israel","","?"
"2151","2019/2020","Akhliddin Isroilov","Attacking Midfield","24","Kyrgyzstan","FK Andijon","Uzbekistan","Superliga","Dordoi Bishkek","Kyrgyzstan","","?"
"2152","2019/2020","Jorge Vieira","Goalkeeper","28","Portugal","FK Ørn Horten","Norway","","Mjöndalen IF II","Norway","","?"
"2153","2019/2020","Seydi Kayasoy","Centre-Back","21","Turkey","Altinordu","Turkey","1.Lig","1922 Konya","Turkey","2.Lig Beyaz","?"
"2154","2019/2020","Damian Pawlowski","Central Midfield","20","Poland","Pogon Szczecin","Poland","Ekstraklasa","Wisla Kraków","Poland","Ekstraklasa","?"
"2155","2019/2020","Mohamed Ali Kozdoghli","Centre-Back","29","Tunisia","Hetten FC","Saudi Arabia","","ES Zarzis","Tunisia","","?"
"2156","2019/2020","Jarno De Smet","Goalkeeper","20","Belgium","KV Kortrijk","Belgium","Jupiler Pro League","Beerschot V.A.","Belgium","Proximus League","?"
"2157","2019/2020","Magnus Grödem","Attacking Midfield","21","Norway","Vålerenga","Norway","Eliteserien","Vejle BK","Denmark","NordicBet LIGA","?"
"2158","2019/2020","Mergim Bajrami","Attacking Midfield","19","Switzerland","Grasshoppers","Switzerland","Challenge League","FC Schaffhausen","Switzerland","Challenge League","?"
"2159","2019/2020","Ron Gabay","Left-Back","20","Israel","Ness Ziona","Israel","Ligat ha'Al","Hapoel Azor","Israel","","?"
"2160","2019/2020","Leon Petrovic","Centre-Forward","19","Croatia","Genoa U19","Italy","Primavera 1","NK Orijent Rijeka","Croatia","2.HNL","?"
"2161","2019/2020","Dario Zanatta","Left Midfield","22","Canada","Hearts FC II","Scotland","","Partick Thistle","Scotland","Championship","?"
"2162","2019/2020","Elton Kabangu","Left Winger","21","Belgium","KAA Gent II","Belgium","","Willem II","Netherlands","Eredivisie","?"
"2163","2019/2020","Tiago Alves","Centre-Forward","23","Portugal","Olimpia Grudz.","Poland","1 Liga","Piast Gliwice","Poland","Ekstraklasa","?"
"2164","2019/2020","Maor Gad","Centre-Back","21","Israel","H. Kfar Saba","Israel","Ligat ha'Al","Hakoah Amidar","Israel","","?"
"2165","2019/2020","Yohan Cabaye","Central Midfield","33","France","","","","Saint-Étienne","France","Ligue 1","-"
"2166","2019/2020","Marek Wasiluk","Centre-Back","32","Poland","Chrobry Glogow","Poland","1 Liga","","","","-"
"2167","2019/2020","Víctor Casadesús","Centre-Forward","34","Spain","Alcorcón","Spain","LaLiga2","","","","-"
"2168","2019/2020","Sebastian Boenisch","Left-Back","32","Poland","","","","FAC","Austria","2. Liga","-"
"2169","2019/2020","Ivan Audino","Left Midfield","28","Switzerland","FC Wil 1900","Switzerland","Challenge League","","","","-"
"2170","2019/2020","Bruno Silva","Defensive Midfield","31","Brazil","Guarani","Brazil","Série B","","","","-"
"2171","2019/2020","Anton Dolhyi","Defensive Midfield","27","Ukraine","","","","SK Chaika","Ukraine","","-"
"2172","2019/2020","Viktor Angelov","Centre-Forward","25","North Macedonia","","","","Siroki Brijeg","Bosnia-Herzegovina","Premijer Liga","-"
"2173","2019/2020","Lotfi Dif","Left Winger","25","Algeria","AS Aïn M'lila","Algeria","Ligue Professionnelle 1","USM Annaba","Algeria","","?"
"2174","2019/2020","Kirill Kirilenko","Left Winger","18","Belarus","BATE II","Belarus","","Karpaty Lviv II","Ukraine","","?"
"2175","2019/2020","Meldin Jusufi","Left Winger","20","Bosnia-Herzegovina","Olimp. Sarajevo","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"2176","2019/2020","Renzo Rolfo","Centre-Forward","23","Uruguay","CA Torque","Uruguay","Segunda División","Central","Uruguay","Segunda División","?"
"2177","2019/2020","Alex Méndez","Central Midfield","18","United States","SC Freiburg U19","Germany","U19-Bundesliga Süd/Südwest","Ajax U21","Netherlands","Keuken Kampioen Divisie","?"
"2178","2019/2020","Mohamed Soukal","Midfielder","27","Algeria","ASO Chlef","Algeria","Ligue Professionnelle 1","A Bou Saâda","Algeria","","?"
"2179","2019/2020","Koroush Chapipour","Centre-Back","","Iran","Shahrdari Bam","Iran","","Tarbiat Yazd","Iran","","?"
"2180","2019/2020","Aislan","Centre-Back","31","Brazil","Serra-ES","Brazil","","","","","-"
"2181","2019/2020","Mario Babic","Attacking Midfield","27","Croatia","Siroki Brijeg","Bosnia-Herzegovina","Premijer Liga","","","","-"
"2182","2019/2020","Marco Piredda","Central Midfield","25","Italy","","","","Sambenedettese","Italy","Serie C - B","-"
"2183","2019/2020","Vianney Mabidé","Defensive Midfield","30","Central African Republic","","","","Kawkab Marrakech","Morocco","","-"
"2184","2019/2020","Jackson","Defensive Midfield","28","Brazil","Camboriú-SC","Brazil","","","","","-"
"2185","2019/2020","Vahid Hambo","Centre-Forward","24","Finland","Astra Giurgiu","Romania","Liga 1","","","","-"
"2186","2019/2020","Mate Tsintsadze","Central Midfield","24","Georgia","Torpedo Kutaisi","Georgia","Crystalbet Erovnuli Liga","","","","-"
"2187","2019/2020","Je-min Yeon","Centre-Back","26","Korea, South","","","","Kagoshima Utd.","Japan","J2 League","-"
"2188","2019/2020","Desley Ubbink","Attacking Midfield","26","Netherlands","AS Trencin","Slovakia","Fortuna Liga","","","","-"
"2189","2019/2020","Hamid Reza Pakizeh","Right Winger","28","Iran","","","","Tarbiat Yazd","Iran","","-"
"2190","2019/2020","Federico Pacciardi","Left-Back","24","Italy","UC AlbinoLeffe","Italy","Serie C - A","","","","-"
"2191","2019/2020","Moctar Cissé","Centre-Forward","26","Mali","","","","USM Bel Abbès","Algeria","Ligue Professionnelle 1","-"
"2192","2019/2020","Giorgi Kiknadze","Attacking Midfield","21","Georgia","","","","Torpedo Kutaisi","Georgia","Crystalbet Erovnuli Liga","-"
"2193","2019/2020","Cheikh El Khalil Moulaye Ahmed","Left Winger","31","Mauritania","","","","Khaleej","Saudi Arabia","","-"
"2194","2019/2020","Seyed Javad Shafieipour","Attacking Midfield","","Iran","","","","Tarbiat Yazd","Iran","","-"
"2195","2019/2020","Melvin Martensson Almevid","Midfielder","19","Sweden","Gefle","Sweden","Division 1 Norra","","","","-"
"2196","2019/2020","Victor Olofsson","Defensive Midfield","20","Sweden","IFK Göteborg","Sweden","Allsvenskan","","","","-"
"2197","2019/2020","Daniel Barros","Defensive Midfield","30","Brazil","Imperatriz-MA","Brazil","","","","","-"
"2198","2019/2020","Ezri Konsa","Centre-Back","21","England","Brentford","England","Championship","Aston Villa","England","Premier League","£11.97m"
"2199","2019/2020","Joseph Aidoo","Centre-Back","23","Ghana","KRC Genk","Belgium","Jupiler Pro League","Celta de Vigo","Spain","LaLiga","£7.20m"
"2200","2019/2020","Jesse Joronen","Goalkeeper","26","Finland","FC Copenhagen","Denmark","Superligaen","Brescia","Italy","Serie A","£4.50m"
"2201","2019/2020","Nana Ampomah","Left Winger","23","Ghana","Waasl.-Beveren","Belgium","Jupiler Pro League","F. Düsseldorf","Germany","Bundesliga","£3.60m"
"2202","2019/2020","Iván Marcano","Centre-Back","32","Spain","AS Roma","Italy","Serie A","FC Porto","Portugal","Liga NOS","£2.70m"
"2203","2019/2020","Claudio Baeza","Defensive Midfield","25","Chile","Ahli","Saudi Arabia","Professional League","Necaxa","Mexico","Liga MX Apertura","£2.70m"
"2204","2019/2020","Pablo Marí","Centre-Back","25","Spain","Man City","England","Premier League","Flamengo","Brazil","Série A","£1.53m"
"2205","2019/2020","Simone Colombi","Goalkeeper","28","Italy","Carpi","Italy","Serie C - B","Parma","Italy","Serie A","£675k"
"2206","2019/2020","Ionut Vina","Central Midfield","24","Romania","FC Viitorul","Romania","Liga 1","FCSB","Romania","Liga 1","£675k"
"2207","2019/2020","Saad Agouzoul","Centre-Back","21","Morocco","Kawkab Marrakech","Morocco","","LOSC Lille","France","Ligue 1","£540k"
"2208","2019/2020","Joakim Nilsson","Centre-Back","25","Sweden","Elfsborg","Sweden","Allsvenskan","Arm. Bielefeld","Germany","2. Bundesliga","£360k"
"2209","2019/2020","Felipe Souza Ferreyra","Left Winger","21","Brazil","Curicó","Chile","Primera División","OFI Crete","Greece","Super League","£270k"
"2210","2019/2020","Maximilian Beister","Right Winger","28","Germany","KFC Uerdingen","Germany","3. Liga","FC Ingolstadt","Germany","3. Liga","£225k"
"2211","2019/2020","Or Dasa","Right Winger","20","Israel","M. Tel Aviv","Israel","Ligat ha'Al","Hapoel Raanana","Israel","Ligat ha'Al","£158k"
"2212","2019/2020","Adama Guira","Central Midfield","31","Burkina Faso","Aarhus GF","Denmark","Superligaen","R&F (HK)","Hongkong","","£90k"
"2213","2019/2020","Budu Zivzivadze","Centre-Forward","25","Georgia","Torpedo Kutaisi","Georgia","Crystalbet Erovnuli Liga","Mezőkövesd","Hungary","NB I.","£90k"
"2214","2019/2020","Vincenzo Silvestro","Central Midfield","20","Italy","Mantova FC","Italy","Serie D - B","Hellas Verona","Italy","Serie A","£84k"
"2215","2019/2020","Robinho","Right Winger","24","Brazil","Columbus Crew","United States","MLS","Orlando City SC","United States","MLS","£41k"
"2216","2019/2020","Patrick Mullins","Centre-Forward","27","United States","Columbus Crew","United States","MLS","Toronto FC","Canada","MLS","£40k"
"2217","2019/2020","Danila Proshlyakov","Centre-Forward","19","Russia","Spartak 2","Russia","1.Division","Rostov","Russia","Premier Liga","£11k"
"2218","2019/2020","Anton Ferdinand","Centre-Back","34","England","St. Mirren","Scotland","Premiership","","","","-"
"2219","2019/2020","David Forde","Goalkeeper","39","Ireland","Cambridge Utd.","England","League Two","","","","-"
"2220","2019/2020","Boaz Myhill","Goalkeeper","36","Wales","West Brom","England","Championship","","","","-"
"2221","2019/2020","Paul Jones","Goalkeeper","33","England","Fleetwood","England","League One","","","","-"
"2222","2019/2020","Liam Ridgewell","Centre-Back","34","England","Hull City","England","Championship","","","","-"
"2223","2019/2020","Matthew Kilgallon","Centre-Back","35","England","Hamilton Acad.","Scotland","Premiership","","","","-"
"2224","2019/2020","Jamal Campbell-Ryce","Right Winger","36","Jamaica","Stevenage FC","England","League Two","","","","-"
"2225","2019/2020","Theo Zwarthoed","Goalkeeper","36","Netherlands","NAC Breda","Netherlands","Keuken Kampioen Divisie","","","","-"
"2226","2019/2020","Lamine Diarra","Centre-Forward","35","Senegal","Elazigspor ","Turkey","2.Lig Kirmizi","","","","-"
"2227","2019/2020","Marc Richards","Centre-Forward","36","England","Swindon Town","England","League Two","","","","-"
"2228","2019/2020","Sándor Torghelle","Centre-Forward","37","Hungary","MTK Budapest","Hungary","NB II.","","","","-"
"2229","2019/2020","John Utaka","Left Winger","37","Nigeria","","","","Nogoom FC","Egypt","","-"
"2230","2019/2020","Chaouki Ben Saada","Attacking Midfield","35","Tunisia","Troyes","France","Ligue 2","","","","-"
"2231","2019/2020","Marc-Antoine Fortuné","Centre-Forward","37","French Guiana","Chesterfield FC","England","National League","","","","-"
"2232","2019/2020","Matteo Brighi","Central Midfield","38","Italy","FC Empoli","Italy","Serie B","","","","-"
"2233","2019/2020","Daniele De Rossi","Defensive Midfield","35","Italy","AS Roma","Italy","Serie A","","","","-"
"2234","2019/2020","Marian Kelemen","Goalkeeper","39","Slovakia","Jagiellonia","Poland","Ekstraklasa","","","","-"
"2235","2019/2020","Yves Makabu-Makalambay","Goalkeeper","33","DR Congo","Wycombe","England","League One","","","","-"
"2236","2019/2020","Mario Santana","Second Striker","37","Argentina","Pro Patria","Italy","Serie C - A","","","","-"
"2237","2019/2020","Selcuk Sahin","Defensive Midfield","38","Turkey","Genclerbirligi","Turkey","Süper Lig","","","","-"
"2238","2019/2020","Soner Sahin","Goalkeeper","38","Turkey","Afjet Afyonspor","Turkey","2.Lig Beyaz","","","","-"
"2239","2019/2020","Volkan Demirel","Goalkeeper","37","Turkey","Fenerbahce","Turkey","Süper Lig","","","","-"
"2240","2019/2020","Paolo Sammarco","Central Midfield","36","Italy","Frosinone","Italy","Serie B","","","","-"
"2241","2019/2020","Egemen Korkmaz","Centre-Back","36","Turkey","BB Erzurumspor","Turkey","1.Lig","","","","-"
"2242","2019/2020","Albano Bizzarri","Goalkeeper","41","Argentina","Foggia","Italy","Serie D - H","","","","-"
"2243","2019/2020","Casi","Centre-Forward","26","Spain","Oviedo Vetusta","Spain","2ª B - Grupo I","","","","-"
"2244","2019/2020","José Ángel","Attacking Midfield","34","Spain","CD Badajoz","Spain","2ª B - Grupo IV","Villanovense","Spain","","-"
"2245","2019/2020","Chuka","Centre-Forward","29","Nigeria","Ittehad","Egypt","Premier League","","","","-"
"2246","2019/2020","Edoardo Lancini","Centre-Back","25","Italy","Brescia","Italy","Serie A","","","","-"
"2247","2019/2020","Nicola Lancini","Defender","25","Italy","Virtus Verona","Italy","Serie C - B","","","","-"
"2248","2019/2020","Filipe Nascimento","Central Midfield","24","Portugal","Levski Sofia","Bulgaria","Parva Liga","","","","-"
"2249","2019/2020","João Nunes","Centre-Back","23","Portugal","Lechia Gdansk","Poland","Ekstraklasa","","","","-"
"2250","2019/2020","Nico Varela","Right Winger","28","Uruguay","Wisla Plock","Poland","Ekstraklasa","","","","-"
"2251","2019/2020","Andrea Cittadino","Attacking Midfield","25","Italy","Latina Calcio","Italy","Serie D - G","","","","-"
"2252","2019/2020","Chiel Kramer","Goalkeeper","27","Netherlands","Almere City","Netherlands","Keuken Kampioen Divisie","","","","-"
"2253","2019/2020","Aleksandar Tanasin","Right-Back","27","Serbia","Proleter","Serbia","Linglong Tire Super liga Srbije","","","","-"
"2254","2019/2020","João Costa","Goalkeeper","23","Portugal","FC Porto","Portugal","Liga NOS","FC Porto B","Portugal","Liga Pro","-"
"2255","2019/2020","Stanislav Lunin","Right Winger","26","Kazakhstan","Irtysh","Kazakhstan","Premier Liga","","","","-"
"2256","2019/2020","Abou Diop","Centre-Forward","25","Senegal","Sampdoria","Italy","Serie A","","","","-"
"2257","2019/2020","Alexandros Galitsios","Centre-Back","26","Greece","Volos NPS","Greece","Super League","","","","-"
"2258","2019/2020","Davide Narduzzo","Goalkeeper","24","Italy","Reggio Audace","Italy","Serie C - B","","","","-"
"2259","2019/2020","Tamás Fadgyas","Goalkeeper","23","Hungary","Nyíregyháza","Hungary","NB II.","","","","-"
"2260","2019/2020","Antonio Cotán","Central Midfield","23","Spain","Gimnàstic","Spain","2ª B - Grupo III","","","","-"
"2261","2019/2020","Fran Rodríguez","Right-Back","24","Spain","UD Almería","Spain","LaLiga2","","","","-"
"2262","2019/2020","Aitor Seguín","Left Winger","24","Spain","Bilbao Athletic","Spain","2ª B - Grupo II","","","","-"
"2263","2019/2020","Nikola Jankovic","Right-Back","26","Serbia","FK Jablonec","Czech Republic","Fortuna Liga","","","","-"
"2264","2019/2020","Donervon Daniels","Centre-Back","25","England","Blackpool","England","League One","","","","-"
"2265","2019/2020","Giuseppe Zampano","Right-Back","25","Italy","Venezia","Italy","Serie B","","","","-"
"2266","2019/2020","Tommy Maistrello","Centre-Forward","26","Italy","LR Vicenza","Italy","Serie C - B","","","","-"
"2267","2019/2020","Simone Brugaletta","Centre-Back","25","Italy","Gela","Italy","Serie D - I","","","","-"
"2268","2019/2020","Nathan Thompson","Right-Back","28","England","Portsmouth","England","League One","","","","-"
"2269","2019/2020","Baptiste Schmisser","Centre-Back","33","France","KSV Roeselare","Belgium","Proximus League","","","","-"
"2270","2019/2020","Glynor Plet","Centre-Forward","32","Netherlands","Alanyaspor","Turkey","Süper Lig","","","","-"
"2271","2019/2020","Jaume Sobregrau","Right-Back","32","Spain","CF Fuenlabrada","Spain","LaLiga2","","","","-"
"2272","2019/2020","Mauro Matos","Centre-Forward","36","Argentina","CA Tucumán","Argentina","Superliga","","","","-"
"2273","2019/2020","Gabriel Nowak","Defensive Midfield","32","Poland","Kotwica","Poland","3 Liga - Group II","","","","-"
